code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
543460,QRIL,M,86.50,86.50,83.01,83.01,8000,6.80,4,
531225,XTGLOBAL,X,24.25,25.15,22.50,23.51,28401,6.79,203,
506260,ANUHPHR,X,84.85,85.20,84.00,84.88,8034,6.79,106,
526859,ISFL,X,2.10,2.20,2.04,2.14,320982,6.77,522,
524542,SUKHJITS,B,397.70,400.25,392.00,392.00,1708,6.76,112,
543254,AWHCL,B,254.05,258.80,253.40,258.25,2636,6.76,327,
539042,AGIIL,B,494.85,504.85,480.05,499.00,1355,6.76,84,
543622,STML,M,140.05,142.70,140.00,142.70,4800,6.75,4,
526654,THAKDEV,X,124.95,124.95,110.00,118.20,5878,6.70,90,
540776,5PAISA,B,274.50,278.30,273.75,275.30,2429,6.70,227,
534425,SPECIALITY,B,209.65,213.00,209.65,212.80,3161,6.70,128,
530419,SUMEDHA,X,58.00,58.00,52.82,54.20,12109,6.69,230,
505192,SMLISUZU,B,702.50,732.00,702.50,727.05,925,6.69,185,
543419,SHRIRAMPPS,B,64.75,65.45,64.00,64.92,10274,6.65,190,
523369,DCMSRMIND,B,63.90,66.35,63.78,65.46,10161,6.64,206,
543327,EXXARO,B,121.00,123.10,116.10,121.65,5516,6.64,155,
521034,SOMATEX,T,24.59,24.59,24.59,24.59,26978,6.63,63,
531802,PRERINFRA,X,34.90,35.47,33.60,34.88,19101,6.61,87,
543623,VEDANTASSET,M,45.65,45.65,42.03,44.85,15000,6.61,5,
543615,SRSOLTD,M,137.95,138.00,137.00,138.00,4800,6.60,3,
506820,ASTRAZEN,A,3342.10,3371.05,3338.55,3347.05,197,6.59,99,
539997,KPL,B,342.65,343.00,325.20,327.55,1985,6.59,125,
502448,ROLLT,B,0.89,0.94,0.87,0.87,747284,6.57,237,
523558,SWISSMLTRY,X,14.35,14.75,14.06,14.73,45641,6.57,361,
500068,DISAQ,X,8063.95,8098.00,8002.10,8010.05,81,6.51,20,
